"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.alibaba.datax.plugin.writer.adbpgwriter.copy","C:\User\arun\Assignment 2_summer\alibaba\DataX\adbpgwriter\src\main\java\com\alibaba\datax\plugin\writer\adbpgwriter\copy\Adb4pgClientProxy.java","4","69","Unnecessary qualifier 'Adb4pgClientProxy': 'LOG' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","com.alibaba.datax.plugin.writer.adswriter.ads","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\ads\ColumnDataType.java","4","53","Unnecessary qualifier 'ColumnDataType': 'getDataType' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsClientProxy.java","4","135","Unnecessary qualifier 'AdsClientProxy': 'LOG' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","236","Unnecessary qualifier 'AdsInsertProxy': 'getHashPartition' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","237","Unnecessary qualifier 'AdsInsertProxy': 'getHashPartition' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","308","Unnecessary qualifier 'AdsInsertProxy': 'MAX_EXCEPTION_CAUSE_ITER' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"4","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","375","Unnecessary qualifier 'AdsInsertProxy': 'MAX_EXCEPTION_CAUSE_ITER' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"5","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","542","Unnecessary qualifier 'java.sql': 'Date' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"6","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","555","Unnecessary qualifier 'java.sql': 'Date' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"7","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","561","Unnecessary qualifier 'java.sql': 'Time' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"8","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","574","Unnecessary qualifier 'java.sql': 'Time' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"9","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","580","Unnecessary qualifier 'java.sql': 'Timestamp' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"10","com.alibaba.datax.plugin.writer.adswriter.insert","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\insert\AdsInsertProxy.java","4","593","Unnecessary qualifier 'java.sql': 'Timestamp' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"1","com.alibaba.datax.plugin.writer.adswriter.load","C:\User\arun\Assignment 2_summer\alibaba\DataX\adswriter\src\main\java\com\alibaba\datax\plugin\writer\adswriter\load\AdsHelper.java","3","181","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
