"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","us.codecraft.webmagic","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\Spider.java","4","690","Unnecessary qualifier 'Status': 'values' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","us.codecraft.webmagic.model","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\model\HttpRequestBody.java","3","21","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.selector","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\PlainText.java","4","54","Unnecessary qualifier 'PlainText': 'create' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","us.codecraft.webmagic.selector","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selectors.java","3","9","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.thread","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\thread\CountableThreadPool.java","3","62","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\CharsetUtils.java","3","20","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\HttpClientUtils.java","3","14","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\HttpConstant.java","3","8","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"2","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\HttpConstant.java","3","10","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"3","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\HttpConstant.java","3","28","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"4","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\HttpConstant.java","3","34","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\NumberUtils.java","3","6","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.downloader","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\downloader\PhantomJSDownloader.java","4","81","Unnecessary qualifier 'PhantomJSDownloader': 'crawlJsPath' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\utils\ClassUtils.java","3","11","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\utils\IPUtils.java","3","13","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\utils\MultiKeyMapBase.java","3","15","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.utils","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\utils\RequestUtils.java","3","16","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","us.codecraft.webmagic.recover","C:\User\arun\Assignment 2_summer\code4craft\webmagic\webmagic-samples\src\main\java\us\codecraft\webmagic\recover\MmapQueueScheduler.java","4","44","Unnecessary qualifier 'MmapQueueScheduler': 'DATABASE_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
