"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\User\arun\Assignment 2_summer\dropwizard\metrics\.mvn\wrapper\MavenWrapperDownloader.java","3","71","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.codahale.metrics","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-core\src\main\java\com\codahale\metrics\ScheduledReporter.java","3","42","Avoid using java.lang.ThreadGroup; it is not thread safe","Multithreading","AvoidThreadGroup"
"2","com.codahale.metrics","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-core\src\main\java\com\codahale\metrics\ScheduledReporter.java","3","42","Avoid using java.lang.ThreadGroup; it is not thread safe","Multithreading","AvoidThreadGroup"
"1","com.codahale.metrics.health","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-healthchecks\src\main\java\com\codahale\metrics\health\HealthCheckRegistry.java","3","275","Avoid using java.lang.ThreadGroup; it is not thread safe","Multithreading","AvoidThreadGroup"
"2","com.codahale.metrics.health","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-healthchecks\src\main\java\com\codahale\metrics\health\HealthCheckRegistry.java","3","275","Avoid using java.lang.ThreadGroup; it is not thread safe","Multithreading","AvoidThreadGroup"
"1","com.codahale.metrics.httpasyncclient","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-httpasyncclient\src\test\java\com\codahale\metrics\httpasyncclient\HttpClientTestBase.java","3","16","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","com.codahale.metrics.httpasyncclient","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-httpasyncclient\src\test\java\com\codahale\metrics\httpasyncclient\InstrumentedHttpClientsTimerTest.java","3","124","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.codahale.metrics.httpclient5","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-httpclient5\src\main\java\com\codahale\metrics\httpclient5\InstrumentedHttpRequestExecutor.java","4","33","Unnecessary qualifier 'HttpRequestExecutor': 'DEFAULT_WAIT_FOR_CONTINUE' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","io.dropwizard.metrics.servlets","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-jakarta-servlets\src\main\java\io\dropwizard\metrics\servlets\MetricsServlet.java","4","86","Unnecessary qualifier 'MetricsServlet': 'DURATION_UNIT' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","io.dropwizard.metrics.servlets","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-jakarta-servlets\src\main\java\io\dropwizard\metrics\servlets\MetricsServlet.java","4","89","Unnecessary qualifier 'MetricsServlet': 'RATE_UNIT' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"3","io.dropwizard.metrics.servlets","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-jakarta-servlets\src\main\java\io\dropwizard\metrics\servlets\MetricsServlet.java","4","92","Unnecessary qualifier 'MetricsServlet': 'ALLOWED_ORIGIN' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","com.codahale.metrics.jmx","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-jmx\src\test\java\com\codahale\metrics\jmx\JmxReporterTest.java","3","260","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.codahale.metrics.jvm","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-jvm\src\main\java\com\codahale\metrics\jvm\FileDescriptorRatioGauge.java","3","20","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.codahale.metrics.jvm","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-jvm\src\test\java\com\codahale\metrics\jvm\FileDescriptorRatioGaugeSunManagementNotExistsTest.java","3","80","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.codahale.metrics.jvm","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-jvm\src\test\java\com\codahale\metrics\jvm\FileDescriptorRatioGaugeTest.java","4","37","Unnecessary qualifier 'com.sun.management': 'UnixOperatingSystemMXBean' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"1","com.codahale.metrics.jvm","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-jvm\src\test\java\com\codahale\metrics\jvm\JmxAttributeGaugeTest.java","3","46","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.codahale.metrics.servlets","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-servlets\src\main\java\com\codahale\metrics\servlets\MetricsServlet.java","4","87","Unnecessary qualifier 'MetricsServlet': 'DURATION_UNIT' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","com.codahale.metrics.servlets","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-servlets\src\main\java\com\codahale\metrics\servlets\MetricsServlet.java","4","90","Unnecessary qualifier 'MetricsServlet': 'RATE_UNIT' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"3","com.codahale.metrics.servlets","C:\User\arun\Assignment 2_summer\dropwizard\metrics\metrics-servlets\src\main\java\com\codahale\metrics\servlets\MetricsServlet.java","4","93","Unnecessary qualifier 'MetricsServlet': 'ALLOWED_ORIGIN' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
