"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\main\java\com\google\auto\common\AnnotationValues.java","4","97","Unnecessary qualifier 'AnnotationValues': 'equivalence' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\main\java\com\google\auto\common\AnnotationValues.java","4","138","Unnecessary qualifier 'AnnotationValues': 'equivalence' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\main\java\com\google\auto\common\BasicAnnotationProcessor.java","4","676","Unnecessary qualifier 'ElementFactory': 'forAnnotatedElement' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\main\java\com\google\auto\common\MoreTypes.java","4","71","Unnecessary qualifier 'MoreTypes': 'equal' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\main\java\com\google\auto\common\MoreTypes.java","4","339","Unnecessary qualifier 'TypeKind': 'EXECUTABLE' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"3","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\main\java\com\google\auto\common\MoreTypes.java","4","959","Unnecessary qualifier 'MoreTypes': 'asExecutable' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"4","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\main\java\com\google\auto\common\MoreTypes.java","4","1036","Unnecessary qualifier 'TypeKind': 'WILDCARD' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"5","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\main\java\com\google\auto\common\MoreTypes.java","4","1048","Unnecessary qualifier 'TypeKind': 'DECLARED' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"1","com.google.auto.common","C:\User\arun\Assignment 2_summer\google\auto\common\src\test\java\com\google\auto\common\AnnotationMirrorsTest.java","4","86","Unnecessary qualifier 'SimpleEnum': 'BLAH' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"1","com.google.auto.factory.processor","C:\User\arun\Assignment 2_summer\google\auto\factory\src\main\java\com\google\auto\factory\processor\AutoFactoryProcessor.java","4","255","Unnecessary qualifier 'ElementFilter': 'methodsIn' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
