"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.supertokens.cli","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\cli\src\main\java\io\supertokens\cli\Main.java","4","67","Unnecessary qualifier 'Main': 'isTesting' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","io.supertokens.cli","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\cli\src\main\java\io\supertokens\cli\Main.java","3","124","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.supertokens.cli.commandHandler.install","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\cli\src\main\java\io\supertokens\cli\commandHandler\install\InstallHandler.java","3","139","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","io.supertokens.cli.commandHandler.install","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\cli\src\main\java\io\supertokens\cli\commandHandler\install\InstallHandler.java","3","141","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","io.supertokens.cli.commandHandler.install","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\cli\src\main\java\io\supertokens\cli\commandHandler\install\InstallHandler.java","3","199","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"4","io.supertokens.cli.commandHandler.install","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\cli\src\main\java\io\supertokens\cli\commandHandler\install\InstallHandler.java","3","203","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","io.supertokens.downloader","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\downloader\src\main\java\io\supertokens\downloader\Main.java","4","50","Unnecessary qualifier 'Main': 'isTesting' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","io.supertokens.ee","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\ee\src\main\java\io\supertokens\ee\EEFeatureFlag.java","3","159","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.supertokens.ee.test","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\ee\src\test\java\io\supertokens\ee\test\TestingProcessManager.java","4","17","Unnecessary qualifier 'TestingProcessManager': 'start' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","io.supertokens.ee.test","C:\User\arun\Assignment 2_summer\super-tokens\supertokens-core\ee\src\test\java\io\supertokens\ee\test\TestingProcessManager.java","4","123","Unnecessary qualifier 'Thread': 'sleep' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
