"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.swagger.v3.core.filter","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\filter\SpecFilter.java","3","274","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.swagger.v3.core.jackson","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\jackson\AbstractModelConverter.java","4","110","Unnecessary qualifier 'java.util': 'Set' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"2","io.swagger.v3.core.jackson","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\jackson\AbstractModelConverter.java","4","115","Unnecessary qualifier 'java.util': 'Set' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"1","io.swagger.v3.core.jackson","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\jackson\ModelResolver.java","4","1054","Unnecessary qualifier 'ModelResolver': 'enumsAsRef' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","io.swagger.v3.core.util","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\util\AnnotationsUtils.java","3","60","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"2","io.swagger.v3.core.util","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\util\AnnotationsUtils.java","4","469","Unnecessary qualifier 'AnnotationsUtils': 'getExtensions' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","io.swagger.v3.core.util","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\util\AnnotationsUtils.java","4","543","Unnecessary qualifier 'AnnotationsUtils': 'getExtensions' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"4","io.swagger.v3.core.util","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\util\AnnotationsUtils.java","4","810","Unnecessary qualifier 'AnnotationsUtils': 'getExtensions' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"5","io.swagger.v3.core.util","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\util\AnnotationsUtils.java","4","911","Unnecessary qualifier 'AnnotationsUtils': 'getArraySchema' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"6","io.swagger.v3.core.util","C:\User\arun\Assignment 2_summer\swagger-api\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\util\AnnotationsUtils.java","4","945","Unnecessary qualifier 'AnnotationsUtils': 'getExtensions' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
